,penalty,distance,damage
0,4.843844993958491,175.5808524166073,210.59683227539062
1,3.238283367579711,176.17166324202887,0.0
2,3.135374156039759,187.3288059529825,0.9775623679161072
3,2.856121982397501,221.6978821777551,6.691425800323486
4,11.904557557099567,181.39289451673545,1122.6412658691406
5,14.484897829377397,187.19891889543953,1100.6342391967773
6,11.798479243630737,176.96870270330774,1058.0521125793457
7,2.937949526101314,208.04419971154735,2.0934789180755615
8,3.9405374536832256,174.37072922677675,84.69025421142578
9,35.31470311001641,164.67521966189287,3363.9556579589844
10,3.106198084986495,203.58994009205324,12.730765342712402
11,4.879770125482485,179.7430149016106,147.37062072753906
12,4.67957061631532,178.93804770757455,117.90701293945312
13,3.094524598302435,193.9393786709065,3.861150026321411
14,35.06393758888131,158.2723228401748,3550.7694702148438
15,11.260491187519495,156.32244649431192,707.5473022460938
