,penalty,distance,damage
0,3.9836555178872626,101.63444821127382,0.0
1,4.044818914890885,95.51810851091145,0.0
2,4.138338340932834,86.16616590671664,0.0
3,4.224438996783832,77.55610032161682,0.0
4,4.131051910916789,86.8948089083211,0.0
5,3.848124642803694,115.18753571963066,0.0
6,3.9579097445348026,104.20902554651978,0.0
7,4.104560138573077,91.01702792314194,1.7566194534301758
8,4.062422484985649,93.7577515014352,0.0
9,3.5350918377749503,146.49081622250498,0.0
10,3.8249862900744653,117.52514922127912,0.02994038350880146
11,4.5876782874317295,41.23217125682707,0.0
12,4.019057655791961,98.0942344208039,0.0
13,3.5081343825161286,149.1865617483872,0.0
14,4.338106920811916,66.18930791880842,0.0
15,3.8760747169648155,112.39252830351849,0.0
